2025-04-04 15:12:05,277 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:12:07,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.30% | Other:  99.70%
2025-04-04 15:12:09,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.09% | Other:  99.91%
2025-04-04 15:12:11,283 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:12:13,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.55% | Other:  99.45%
2025-04-04 15:12:15,280 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.04% | Other:  99.96%
2025-04-04 15:12:17,276 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.03% | Other:  99.97%
2025-04-04 15:12:19,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.40% | Other:  98.60%
2025-04-04 15:12:21,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.64% | Other:  99.36%
2025-04-04 15:12:23,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.32% | Other:  98.68%
2025-04-04 15:12:25,281 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.35% | Other:  96.65%
2025-04-04 15:12:29,293 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.76% | Other:  96.24%
2025-04-04 15:12:31,281 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.74% | Other:  99.26%
2025-04-04 15:12:33,290 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.63% | Other:  99.37%
2025-04-04 15:12:35,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.23% | Other:  99.77%
2025-04-04 15:12:37,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:12:39,291 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.04% | Other:  97.96%
2025-04-04 15:12:41,277 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.69% | Other:  99.31%
2025-04-04 15:12:43,288 - debugger - DEBUG - Noise classified as: other | Gunshot:   4.62% | Other:  95.38%
2025-04-04 15:12:45,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.20% | Other:  96.80%
2025-04-04 15:12:47,296 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.11% | Other:  99.89%
2025-04-04 15:12:49,294 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.61% | Other:  96.39%
2025-04-04 15:12:51,280 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.85% | Other:  99.15%
2025-04-04 15:12:53,298 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.29% | Other:  97.71%
2025-04-04 15:12:55,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.45% | Other:  98.55%
2025-04-04 15:12:57,281 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.80% | Other:  97.20%
2025-04-04 15:13:05,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.55% | Other:  97.45%
2025-04-04 15:13:07,291 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:13:09,288 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.02% | Other:  99.98%
2025-04-04 15:13:11,283 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:13:13,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.73% | Other:  98.27%
2025-04-04 15:13:15,285 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.06% | Other:  98.94%
2025-04-04 15:13:17,284 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.51% | Other:  98.49%
2025-04-04 15:13:19,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.19% | Other:  98.81%
2025-04-04 15:13:21,281 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.82% | Other:  98.18%
2025-04-04 15:13:23,297 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.01% | Other:  97.99%
2025-04-04 15:13:27,296 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.00% | Other: 100.00%
2025-04-04 15:13:29,291 - debugger - DEBUG - Noise classified as: other | Gunshot:  10.29% | Other:  89.71%
2025-04-04 15:13:31,283 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.15% | Other:  96.85%
2025-04-04 15:13:33,291 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.61% | Other:  97.39%
2025-04-04 15:13:35,301 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.90% | Other:  99.10%
2025-04-04 15:13:37,282 - debugger - DEBUG - Noise classified as: other | Gunshot:   0.06% | Other:  99.94%
2025-04-04 15:13:41,279 - debugger - DEBUG - Noise classified as: other | Gunshot:   3.80% | Other:  96.20%
2025-04-04 15:13:43,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.12% | Other:  97.88%
2025-04-04 15:13:45,287 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.59% | Other:  98.41%
2025-04-04 15:13:49,293 - debugger - DEBUG - Noise classified as: other | Gunshot:   2.53% | Other:  97.47%
2025-04-04 15:13:51,289 - debugger - DEBUG - Noise classified as: other | Gunshot:   1.59% | Other:  98.41%
